No,1,204,241.2,1012.5,1030
No,2,202,240,1002.5,1000
No,3,201,240,1007.5,1000
No,4,200,240,1002.5,1015
Yes,1,201,249.6,1002.5,1020
Yes,2,200,240,1000,1020
Yes,3,206,241.2,1015,1005
Yes,4,205,249.6,1007.5,1030
No,1,699,834,990,3455
No,2,694,828,997.5,3480
No,3,691,838.8,995,3475
No,4,698,835.2,997.5,3465
Yes,1,698,840,942.5,3500
Yes,2,696,840,990,3490
Yes,3,697,840,962.5,3495
Yes,4,697,834,992.5,3460
No,1,438,575,1075,2340
No,2,445,554,1205,2325
No,3,487,491,1125.5,2285
No,4,428,556,1063,2202.5
Yes,1,447.5,523,1160,2325
Yes,2,459,518,1071.5,2290
Yes,3,457,554,1090,2347.5
Yes,4,424,522.5,1109,2212.5
